date,A0004,A0514,A1534,A3559,A6079,A80,total
2020-03-01,0.0,0.0,18.0,24.0,6.0,0.0,48.0
2020-03-02,0.0,0.0,22.0,30.0,6.0,0.0,58.0
2020-03-03,0.0,0.0,32.0,46.0,14.0,2.0,94.0
2020-03-04,0.0,0.0,36.0,66.0,26.0,2.0,130.0
2020-03-05,0.0,0.0,38.0,80.0,34.0,4.0,156.0
2020-03-06,0.0,0.0,40.0,104.0,34.0,8.0,186.0
2020-03-07,2.0,6.0,46.0,142.0,54.0,18.0,268.0
2020-03-08,2.0,6.0,52.0,150.0,72.0,18.0,300.0
2020-03-09,4.0,6.0,48.0,162.0,76.0,22.0,318.0
2020-03-10,4.0,6.0,46.0,182.0,90.0,34.0,362.0
2020-03-11,4.0,8.0,60.0,212.0,110.0,48.0,442.0
2020-03-12,6.0,8.0,68.0,232.0,156.0,54.0,524.0
2020-03-13,6.0,10.0,72.0,284.0,198.0,68.0,638.0
2020-03-14,4.0,4.0,84.0,360.0,234.0,90.0,776.0
2020-03-15,6.0,4.0,96.0,414.0,256.0,116.0,892.0
2020-03-16,4.0,4.0,106.0,466.0,306.0,156.0,1042.0
2020-03-17,4.0,8.0,124.0,576.0,450.0,194.0,1356.0
2020-03-18,4.0,8.0,134.0,678.0,596.0,276.0,1696.0
2020-03-19,14.0,8.0,164.0,872.0,778.0,396.0,2232.0
2020-03-20,16.0,8.0,216.0,1014.0,1014.0,512.0,2780.0
2020-03-21,16.0,10.0,266.0,1132.0,1256.0,672.0,3352.0
2020-03-22,24.0,10.0,278.0,1312.0,1518.0,856.0,3998.0
2020-03-23,28.0,12.0,290.0,1430.0,1720.0,952.0,4432.0
2020-03-24,36.0,12.0,328.0,1562.0,1992.0,1114.0,5044.0
2020-03-25,50.0,18.0,380.0,1776.0,2408.0,1330.0,5962.0
2020-03-26,46.0,28.0,436.0,1986.0,2854.0,1592.0,6942.0
2020-03-27,52.0,28.0,442.0,2196.0,3308.0,1892.0,7918.0
2020-03-28,62.0,26.0,456.0,2432.0,3766.0,2154.0,8896.0
2020-03-29,60.0,30.0,482.0,2604.0,4174.0,2350.0,9700.0
2020-03-30,64.0,30.0,518.0,2704.0,4432.0,2516.0,10264.0
2020-03-31,62.0,30.0,530.0,2816.0,4688.0,2800.0,10926.0
2020-04-01,60.0,24.0,566.0,2934.0,5064.0,3144.0,11792.0
2020-04-02,58.0,14.0,560.0,2996.0,5202.0,3406.0,12236.0
2020-04-03,60.0,12.0,586.0,2986.0,5260.0,3590.0,12494.0
2020-04-04,60.0,24.0,620.0,2932.0,5280.0,3762.0,12678.0
2020-04-05,60.0,28.0,614.0,2824.0,5102.0,3820.0,12448.0
2020-04-06,52.0,34.0,604.0,2692.0,4966.0,3838.0,12186.0
2020-04-07,58.0,36.0,624.0,2600.0,4868.0,3856.0,12042.0
2020-04-08,62.0,36.0,584.0,2492.0,4540.0,3832.0,11546.0
2020-04-09,60.0,42.0,562.0,2378.0,4364.0,3816.0,11226.0
2020-04-10,56.0,44.0,522.0,2278.0,4184.0,3792.0,10880.0
2020-04-11,50.0,32.0,454.0,2076.0,3786.0,3542.0,9944.0
2020-04-12,44.0,24.0,448.0,1964.0,3624.0,3490.0,9598.0
2020-04-13,48.0,16.0,448.0,1958.0,3514.0,3482.0,9470.0
2020-04-14,36.0,10.0,384.0,1780.0,3216.0,3288.0,8718.0
2020-04-15,26.0,14.0,366.0,1636.0,3006.0,3078.0,8130.0
2020-04-16,24.0,10.0,364.0,1488.0,2868.0,2974.0,7728.0
2020-04-17,22.0,14.0,368.0,1396.0,2712.0,2784.0,7296.0
2020-04-18,22.0,20.0,390.0,1378.0,2694.0,2788.0,7292.0
2020-04-19,20.0,24.0,394.0,1314.0,2608.0,2644.0,7004.0
2020-04-20,18.0,24.0,374.0,1266.0,2560.0,2516.0,6758.0
2020-04-21,28.0,30.0,412.0,1294.0,2532.0,2530.0,6826.0
2020-04-22,26.0,32.0,402.0,1214.0,2386.0,2408.0,6468.0
2020-04-23,28.0,36.0,400.0,1128.0,2180.0,2208.0,5980.0
2020-04-24,30.0,32.0,400.0,1006.0,1928.0,2048.0,5444.0
2020-04-25,34.0,32.0,376.0,922.0,1794.0,1876.0,5034.0
2020-04-26,40.0,28.0,360.0,896.0,1670.0,1766.0,4760.0
2020-04-27,40.0,30.0,360.0,834.0,1536.0,1662.0,4462.0
2020-04-28,30.0,26.0,320.0,786.0,1490.0,1452.0,4104.0
2020-04-29,30.0,18.0,322.0,770.0,1412.0,1374.0,3926.0
2020-04-30,32.0,14.0,290.0,710.0,1296.0,1190.0,3532.0
2020-05-01,32.0,22.0,276.0,714.0,1272.0,1104.0,3420.0
2020-05-02,36.0,16.0,238.0,648.0,1148.0,994.0,3080.0
2020-05-03,38.0,16.0,228.0,572.0,1062.0,908.0,2824.0
2020-05-04,38.0,16.0,216.0,572.0,1026.0,860.0,2728.0
2020-05-05,42.0,14.0,222.0,542.0,922.0,830.0,2572.0
2020-05-06,40.0,14.0,204.0,516.0,854.0,744.0,2372.0
2020-05-07,36.0,14.0,196.0,516.0,808.0,748.0,2318.0
2020-05-08,36.0,10.0,184.0,484.0,774.0,714.0,2202.0
2020-05-09,26.0,14.0,190.0,498.0,774.0,714.0,2216.0
2020-05-10,22.0,16.0,188.0,504.0,758.0,692.0,2180.0
2020-05-11,20.0,14.0,180.0,482.0,768.0,694.0,2158.0
2020-05-12,20.0,16.0,180.0,486.0,724.0,702.0,2128.0
2020-05-13,20.0,22.0,166.0,450.0,696.0,652.0,2006.0
2020-05-14,20.0,26.0,146.0,426.0,630.0,586.0,1834.0
2020-05-15,14.0,20.0,136.0,388.0,560.0,546.0,1664.0
2020-05-16,12.0,20.0,120.0,372.0,518.0,526.0,1568.0
2020-05-17,10.0,24.0,106.0,352.0,492.0,526.0,1510.0
2020-05-18,14.0,28.0,118.0,356.0,460.0,498.0,1474.0
2020-05-19,16.0,26.0,98.0,304.0,444.0,436.0,1324.0
2020-05-20,16.0,20.0,100.0,284.0,386.0,448.0,1254.0
2020-05-21,14.0,18.0,112.0,272.0,386.0,404.0,1206.0
2020-05-22,14.0,18.0,100.0,250.0,348.0,352.0,1082.0
2020-05-23,14.0,14.0,112.0,244.0,338.0,334.0,1056.0
2020-05-24,12.0,8.0,120.0,236.0,342.0,318.0,1036.0
2020-05-25,8.0,4.0,102.0,234.0,344.0,334.0,1026.0
2020-05-26,4.0,4.0,110.0,250.0,330.0,342.0,1040.0
2020-05-27,2.0,4.0,96.0,254.0,336.0,282.0,974.0
2020-05-28,4.0,0.0,88.0,228.0,320.0,268.0,908.0
2020-05-29,4.0,0.0,90.0,250.0,334.0,278.0,956.0
2020-05-30,4.0,0.0,78.0,238.0,304.0,264.0,888.0
