Impfdatum,Total
2020-12-27,24334
2020-12-28,18022
2020-12-29,50206
2020-12-30,64209
2020-12-31,49962
2021-01-01,25653
2021-01-02,47808
2021-01-03,22566
2021-01-04,46328
2021-01-05,52661
2021-01-06,63221
2021-01-07,55014
2021-01-08,62943
2021-01-09,60643
2021-01-10,35818
2021-01-11,68873
2021-01-12,79380
2021-01-13,112483
2021-01-14,84144
2021-01-15,91939
2021-01-16,58045
2021-01-17,47714
2021-01-18,83260
2021-01-19,119883
2021-01-20,132981
2021-01-21,105735
2021-01-22,102469
2021-01-23,87086
2021-01-24,47704
2021-01-25,91155
2021-01-26,98719
2021-01-27,109593
2021-01-28,92945
2021-01-29,107929
2021-01-30,88265
2021-01-31,57133
2021-02-01,120746
2021-02-02,132907
2021-02-03,163282
2021-02-04,134931
2021-02-05,147628
2021-02-06,94134
2021-02-07,53514
2021-02-08,109591
2021-02-09,134874
2021-02-10,155523
2021-02-11,144858
2021-02-12,156465
2021-02-13,107920
2021-02-14,65388
2021-02-15,126078
2021-02-16,135090
2021-02-17,152033
2021-02-18,145251
2021-02-19,158964
2021-02-20,112580
2021-02-21,86028
2021-02-22,157045
2021-02-23,170669
2021-02-24,177224
2021-02-25,190536
2021-02-26,214538
2021-02-27,148327
2021-02-28,103654
2021-03-01,199565
2021-03-02,220457
2021-03-03,248826
2021-03-04,245878
2021-03-05,276301
2021-03-06,203038
2021-03-07,148031
2021-03-08,238947
2021-03-09,253490
2021-03-10,289873
2021-03-11,285095
2021-03-12,329102
2021-03-13,241723
2021-03-14,170605
2021-03-15,249900
2021-03-16,179530
2021-03-17,206361
2021-03-18,194452
2021-03-19,246536
2021-03-20,221498
2021-03-21,164978
2021-03-22,270404
2021-03-23,299492
2021-03-24,339819
2021-03-25,333073
2021-03-26,375021
2021-03-27,282526
2021-03-28,196857
2021-03-29,306098
2021-03-30,326452
2021-03-31,334604
2021-04-01,332622
2021-04-02,226544
2021-04-03,232635
2021-04-04,193539
2021-04-05,248716
2021-04-06,392818
2021-04-07,726186
2021-04-08,718443
2021-04-09,621800
2021-04-10,369322
2021-04-11,261099
2021-04-12,412463
2021-04-13,603958
2021-04-14,808636
2021-04-15,682437
2021-04-16,582832
2021-04-17,359247
2021-04-18,267274
2021-04-19,398810
2021-04-20,589432
2021-04-21,749805
2021-04-22,639650
2021-04-23,541926
2021-04-24,362738
2021-04-25,280330
2021-04-26,437044
2021-04-27,859797
2021-04-28,1162920
2021-04-29,946416
2021-04-30,766934
2021-05-01,325383
2021-05-02,259849
2021-05-03,454829
2021-05-04,898519
2021-05-05,1211135
2021-05-06,1001725
2021-05-07,858176
2021-05-08,412945
2021-05-09,280714
2021-05-10,604427
2021-05-11,1167539
2021-05-12,1469886
2021-05-13,414481
2021-05-14,741949
2021-05-15,393590
2021-05-16,274051
2021-05-17,552376
2021-05-18,932640
2021-05-19,1190712
2021-05-20,984955
2021-05-21,843521
2021-05-22,396561
2021-05-23,272081
2021-05-24,316185
2021-05-25,687039
2021-05-26,1277363
2021-05-27,1056717
2021-05-28,888387
2021-05-29,405782
2021-05-30,273406
2021-05-31,582118
2021-06-01,1028739
2021-06-02,1318260
2021-06-03,641660
2021-06-04,800838
